Municipality Name,Email,Password,Status
"Bihar Sharif Municipal Corporation","lemma_nalanda@gmail.com","lemma@123","Created"
"Kalaburagi City Corporation","lemma_kalaburagi@gmail.com","lemma@123","Created"
"Thane Municipal Corporation","lemma_thane_thane@gmail.com","lemma@123","Created"
"Dhamtari Municipal Corporation","lemma_dhamtari@gmail.com","lemma@123","Created"
"Ayodhya Municipal Corporation","lemma_ayodhya@gmail.com","lemma@123","Created"
"Raipur Municipal Corporation","lemma_raipur_raipur@gmail.com","lemma@123","Created"
"Latur Municipal Corporation","lemma_latur@gmail.com","lemma@123","Created"
"Dhanbad Municipal Corporation","lemma_dhanbad@gmail.com","lemma@123","Created"
"Pudukottai Municipal Corporation","lemma_pudukkottai@gmail.com","lemma@123","Created"
"Durg Municipal Corporation","lemma_durg@gmail.com","lemma@123","Created"
"Kothagudem Municipal Corporation","lemma_bhadradri_kothagudem@gmail.com","lemma@123","Created"
"Bilaspur Municipal Corporation","lemma_bilaspur@gmail.com","lemma@123","Created"
"Gangtok Municipal Corporation","lemma_east_sikkim@gmail.com","lemma@123","Created"
"Agra Municipal Corporation","lemma_agra@gmail.com","lemma@123","Created"
"Prayagraj Municipal Corporation","lemma_prayagraj@gmail.com","lemma@123","Created"
"Morena Municipal Corporation","lemma_morena@gmail.com","lemma@123","Created"
"Chandernagore Municipal Corporation","lemma_hooghly@gmail.com","lemma@123","Created"
"Chittoor Municipal Corporation","lemma_chittoor@gmail.com","lemma@123","Created"
"Purnia Municipal Corporation","lemma_purnia@gmail.com","lemma@123","Created"
"Mathura-Vrindavan Municipal Corporation","lemma_mathura@gmail.com","lemma@123","Created"
"Kolhapur Municipal Corporation","lemma_kolhapur_kolhapur@gmail.com","lemma@123","Created"
"Deoghar Municipal Corporation","lemma_deoghar@gmail.com","lemma@123","Created"
"Bhilai Municipal Corporation","lemma_durg_bhilai@gmail.com","lemma@123","Created"
"Hubballi City Corporation","lemma_dharwad_hubballi@gmail.com","lemma@123","Created"
"Jabalpur Municipal Corporation","lemma_jabalpur@gmail.com","lemma@123","Created"
"Guntur Municipal Corporation","lemma_guntur_guntur@gmail.com","lemma@123","Created"
"Parbhani Municipal Corporation","lemma_parbhani@gmail.com","lemma@123","Created"
"Gandhinagar Municipal Corporation","lemma_gandhinagar@gmail.com","lemma@123","Created"
"Tiruvannamalai Municipal Corporation","lemma_tiruvannamalai@gmail.com","lemma@123","Created"
"Saharsa Municipal Corporation","lemma_saharsa@gmail.com","lemma@123","Created"
"Tumakuru City Corporation","lemma_tumakuru@gmail.com","lemma@123","Created"
"Sasaram Municipal Corporation","lemma_rohtas@gmail.com","lemma@123","Created"
"Imphal Municipal Corporation","lemma_imphal_west@gmail.com","lemma@123","Created"
"Srinagar Municipal Corporation","lemma_pauri_garhwal@gmail.com","lemma@123","Created"
"Ahmednagar Municipal Corporation","lemma_ahmednagar@gmail.com","lemma@123","Created"
"Begusarai Municipal Corporation","lemma_begusarai@gmail.com","lemma@123","Created"
"Chandrapur Municipal Corporation","lemma_chandrapur@gmail.com","lemma@123","Created"
"Sivakasi Municipal Corporation","lemma_virudhunagar@gmail.com","lemma@123","Created"
"Bhagalpur Municipal Corporation","lemma_bhagalpur@gmail.com","lemma@123","Created"
"Surat Municipal Corporation","lemma_surat@gmail.com","lemma@123","Created"
"Hoshiarpur Municipal Corporation","lemma_hoshiarpur@gmail.com","lemma@123","Created"
"Alwar Municipal Corporation","lemma_alwar@gmail.com","lemma@123","Created"
"Aligarh Municipal Corporation","lemma_aligarh@gmail.com","lemma@123","Created"
"Panchkula Municipal Corporation","lemma_panchkula@gmail.com","lemma@123","Created"
"Bharatpur Municipal Corporation","lemma_bharatpur@gmail.com","lemma@123","Created"
"Haridwar Municipal Corporation","lemma_haridwar_haridwar@gmail.com","lemma@123","Created"
"Jodhpur Municipal Corporation","lemma_jodhpur@gmail.com","lemma@123","Created"
"Giridih Municipal Corporation","lemma_giridih@gmail.com","lemma@123","Created"
"Sambalpur Municipal Corporation","lemma_sambalpur@gmail.com","lemma@123","Created"
"Eluru Municipal Corporation","lemma_eluru@gmail.com","lemma@123","Created"
"Saharanpur Municipal Corporation","lemma_saharanpur@gmail.com","lemma@123","Created"
"Rajamahendravaram Municipal Corporation","lemma_east_godavari@gmail.com","lemma@123","Created"
"Agartala Municipal Corporation","lemma_west_tripura@gmail.com","lemma@123","Created"
"Panaji City Corporation","lemma_north_goa@gmail.com","lemma@123","Created"
"Barnala Municipal Corporation","lemma_barnala@gmail.com","lemma@123","Created"
"Samastipur Municipal Corporation","lemma_samastipur@gmail.com","lemma@123","Created"
"Khandwa Municipal Corporation","lemma_khandwa@gmail.com","lemma@123","Created"
"Jamnagar Municipal Corporation","lemma_jamnagar@gmail.com","lemma@123","Created"
"Silchar Municipal Corporation","lemma_cachar@gmail.com","lemma@123","Created"
"Raichur City Corporation","lemma_raichur@gmail.com","lemma@123","Created"
"Jammu Municipal Corporation","lemma_jammu@gmail.com","lemma@123","Created"
"Erode City Municipal Corporation","lemma_erode@gmail.com","lemma@123","Created"
"Kannur Municipal Corporation","lemma_kannur@gmail.com","lemma@123","Created"
"Jagdalpur Municipal Corporation","lemma_bastar@gmail.com","lemma@123","Created"
"Ludhiana Municipal Corporation","lemma_ludhiana@gmail.com","lemma@123","Created"
"Karnal Municipal Corporation","lemma_karnal@gmail.com","lemma@123","Created"
"Hassan City Corporation","lemma_hassan@gmail.com","lemma@123","Created"
"Jalgaon Municipal Corporation","lemma_jalgaon@gmail.com","lemma@123","Created"
"Vellore Municipal Corporation","lemma_vellore@gmail.com","lemma@123","Created"
"Kumbakonam Municipal Corporation","lemma_thanjavur_kumbakonam@gmail.com","lemma@123","Created"
"Karamsad Anand Municipal Corporation","lemma_anand@gmail.com","lemma@123","Created"
"Bhubaneswar Municipal Corporation","lemma_khordha@gmail.com","lemma@123","Created"
"Mandi Municipal Corporation","lemma_mandi@gmail.com","lemma@123","Created"
"Katni Municipal Corporation","lemma_katni@gmail.com","lemma@123","Created"
"Panipat Municipal Corporation","lemma_panipat@gmail.com","lemma@123","Created"
"Moradabad Municipal Corporation","lemma_moradabad@gmail.com","lemma@123","Created"
"Kashipur Municipal Corporation","lemma_udham_singh_nagar@gmail.com","lemma@123","Created"
"Adityapur Municipal Corporation","lemma_seraikela_kharsawan@gmail.com","lemma@123","Created"
"Ratlam Municipal Corporation","lemma_ratlam@gmail.com","lemma@123","Created"
"Rudrapur Municipal Corporation","lemma_udham_singh_nagar_rudrapur@gmail.com","lemma@123","Created"
"Chandigarh Municipal Corporation","lemma_chandigarh@gmail.com","lemma@123","Created"
"Morbi Municipal Corporation","lemma_morbi@gmail.com","lemma@123","Created"
"Bidhannagar Municipal Corporation","lemma_north_24_parganas@gmail.com","lemma@123","Created"
"Munger Municipal Corporation","lemma_munger@gmail.com","lemma@123","Created"
"Bengaluru West City Corporation","lemma_bangalore_urban_bengaluru_west@gmail.com","lemma@123","Created"
"Rajnandgaon Municipal Corporation","lemma_rajnandgaon@gmail.com","lemma@123","Created"
"Brihanmumbai Municipal Corporation","lemma_mumbai@gmail.com","lemma@123","Created"
"Kadapa Municipal Corporation","lemma_ysr_kadapa@gmail.com","lemma@123","Created"
"Rourkela Municipal Corporation","lemma_sundergarh@gmail.com","lemma@123","Created"
"Kotdwar Municipal Corporation","lemma_pauri_garhwal_kotdwar@gmail.com","lemma@123","Created"
"Srikakulam Municipal Corporation","lemma_srikakulam@gmail.com","lemma@123","Created"
"Mohali Municipal Corporation","lemma_mohali@gmail.com","lemma@123","Created"
"Nellore Municipal Corporation","lemma_sps_nellore@gmail.com","lemma@123","Created"
"Berhampur Municipal Corporation","lemma_ganjam@gmail.com","lemma@123","Created"
"Kolkata Municipal Corporation","lemma_kolkata@gmail.com","lemma@123","Created"
"Almora Municipal Corporation","lemma_almora@gmail.com","lemma@123","Created"
"Surendranagar Municipal Corporation","lemma_surendranagar@gmail.com","lemma@123","Created"
"Navsari Municipal Corporation","lemma_navsari@gmail.com","lemma@123","Created"
"Greater Visakhapatnam Municipal Corporation","lemma_visakhapatnam@gmail.com","lemma@123","Created"
"Kalyan-Dombivli Municipal Corporation","lemma_thane_kalyandombivli@gmail.com","lemma@123","Created"
"Nahan Municipal Corporation","lemma_sirmour@gmail.com","lemma@123","Created"
"Asansol Municipal Corporation","lemma_paschim_bardhaman_asansol@gmail.com","lemma@123","Created"
"Anantapur Municipal Corporation","lemma_anantapur@gmail.com","lemma@123","Created"
"Mira-Bhayandar Municipal Corporation","lemma_thane_mirabhayandar@gmail.com","lemma@123","Created"
"Avadi Municipal Corporation","lemma_thiruvallur@gmail.com","lemma@123","Created"
"Kapurthala Municipal Corporation","lemma_kapurthala@gmail.com","lemma@123","Created"
"Rewa Municipal Corporation","lemma_rewa@gmail.com","lemma@123","Created"
"Manesar Municipal Corporation","lemma_gurgaon@gmail.com","lemma@123","Created"
"Katihar Municipal Corporation","lemma_katihar@gmail.com","lemma@123","Created"
"Jaipur Municipal Corporation","lemma_jaipur@gmail.com","lemma@123","Created"
"Kancheepuram Municipal Corporation","lemma_kanchipuram@gmail.com","lemma@123","Created"
"Palampur Municipal Corporation","lemma_kangra_palampur@gmail.com","lemma@123","Created"
"Porbandar Municipal Corporation","lemma_porbandar@gmail.com","lemma@123","Created"
"Howrah Municipal Corporation","lemma_howrah@gmail.com","lemma@123","Created"
"Mahabubnagar Municipal Corporation","lemma_mahabubnagar@gmail.com","lemma@123","Created"
"Nizamabad Municipal Corporation","lemma_nizamabad@gmail.com","lemma@123","Created"
"Phagwara Municipal Corporation","lemma_kapurthala_phagwara@gmail.com","lemma@123","Created"
"Thoothukkudi City Municipal Corporation","lemma_thoothukudi@gmail.com","lemma@123","Created"
"Ghaziabad Municipal Corporation","lemma_ghaziabad@gmail.com","lemma@123","Created"
"Vasai-Virar City Municipal Corporation","lemma_palghar@gmail.com","lemma@123","Created"
"Malegaon Municipal Corporation","lemma_nashik@gmail.com","lemma@123","Created"
"Korba Municipal Corporation","lemma_korba@gmail.com","lemma@123","Created"
"Namakkal Municipal Corporation","lemma_namakkal@gmail.com","lemma@123","Created"
"Vapi Municipal Corporation","lemma_valsad@gmail.com","lemma@123","Created"
"Rohtak Municipal Corporation","lemma_rohtak@gmail.com","lemma@123","Created"
"Ambikapur Municipal Corporation","lemma_surguja@gmail.com","lemma@123","Created"
"Rishikesh Municipal Corporation","lemma_dehradun_rishikesh@gmail.com","lemma@123","Created"
"Jalna Municipal Corporation","lemma_jalna@gmail.com","lemma@123","Created"
"Nadiad Municipal Corporation","lemma_kheda@gmail.com","lemma@123","Created"
"Mango Municipal Corporation","lemma_east_singhbhum@gmail.com","lemma@123","Created"
"Indore Municipal Corporation","lemma_indore@gmail.com","lemma@123","Created"
"Hisar Municipal Corporation","lemma_hisar@gmail.com","lemma@123","Created"
"Madurai Municipal Corporation","lemma_madurai@gmail.com","lemma@123","Created"
"Navi Mumbai Municipal Corporation","lemma_thane_navi_mumbai@gmail.com","lemma@123","Created"
"Chas Municipal Corporation","lemma_bokaro@gmail.com","lemma@123","Created"
"Firozabad Municipal Corporation","lemma_firozabad@gmail.com","lemma@123","Created"
"Kollam Municipal Corporation","lemma_kollam@gmail.com","lemma@123","Created"
"Bettiah Municipal Corporation","lemma_west_champaran@gmail.com","lemma@123","Created"
"Nanded-Waghala Municipal Corporation","lemma_nanded@gmail.com","lemma@123","Created"
"Thiruvananthapuram Municipal Corporation","lemma_thiruvananthapuram@gmail.com","lemma@123","Created"
"Belagavi City Corporation","lemma_belagavi@gmail.com","lemma@123","Created"
"Bidar City Corporation","lemma_bidar@gmail.com","lemma@123","Created"
"Shimla Municipal Corporation","lemma_shimla@gmail.com","lemma@123","Created"
"Gwalior Municipal Corporation","lemma_gwalior@gmail.com","lemma@123","Created"
"Nashik Municipal Corporation","lemma_nashik_nashik@gmail.com","lemma@123","Created"
"Rajkot Municipal Corporation","lemma_rajkot@gmail.com","lemma@123","Created"
"Chhapra Municipal Corporation","lemma_saran@gmail.com","lemma@123","Created"
"Vizianagaram Municipal Corporation","lemma_vizianagaram@gmail.com","lemma@123","Created"
"Bengaluru Central City Corporation","lemma_bangalore_urban_bengaluru_central@gmail.com","lemma@123","Created"
"Bhavnagar Municipal Corporation","lemma_bhavnagar@gmail.com","lemma@123","Created"
"Coimbatore Municipal Corporation","lemma_coimbatore@gmail.com","lemma@123","Created"
"Cuttack Municipal Corporation","lemma_cuttack@gmail.com","lemma@123","Created"
"Itanagar Municipal Corporation","lemma_papum_pare@gmail.com","lemma@123","Created"
"Patna Municipal Corporation","lemma_patna@gmail.com","lemma@123","Created"
"Srinagar Municipal Corporation","lemma_srinagar@gmail.com","lemma@123","Created"
"Motihari Municipal Corporation","lemma_east_champaran@gmail.com","lemma@123","Created"
